title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CURRENT INTELLIGENCE BULLETIN - 1952/07/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02685624,RIPPUB,U,10,"June 6, 2019","June 27, 2019",,,"July 19, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652977%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/01/26,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02026934,RIPPUB,U,10,"August 20, 2019","August 30, 2019",,,"January 26, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689398%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/02/28,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02980781,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"February 28, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689405%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/08/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02739461,RIPPUB,U,7,"April 15, 2019","April 22, 2019",,,"August 1, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15603102%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/11/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02692638,RIPPUB,U,5,"June 6, 2019","June 27, 2019",,,"November 1, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652969%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/09/30,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02998376,RIPPUB,U,11,"January 27, 2020","January 30, 2020",,,"September 30, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777356%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/05/18,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02049788,RIPPUB,U,16,"August 14, 2020","August 27, 2020",,,"May 18, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815754%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/01/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02000178,RIPPUB,U,16,"August 14, 2020","August 27, 2020",,,"January 23, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815635%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/02/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02046541,RIPPUB,U,8,"May 24, 2019","May 30, 2019",,,"February 8, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638476%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/07/31,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02872248,RIPPUB,U,5,"July 15, 2019","July 22, 2019",,,"July 31, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677480%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/06/13,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03194456,RIPPUB,U,15,"January 27, 2020","January 30, 2020",,,"June 13, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772390%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/03/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02731969,RIPPUB,U,20,"August 14, 2020","August 27, 2020",,,"March 27, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815536%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/07/30,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169402,RIPPUB,U,10,"December 12, 2019","December 20, 2019",,,"July 30, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757487%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/12/14,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007359,RIPPUB,U,11,"February 25, 2020","February 27, 2020",,,"December 14, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787753%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/10/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03153729,RIPPUB,U,10,"December 12, 2019","December 20, 2019",,,"October 8, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757337%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/10/29,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03031256,RIPPUB,U,15,"February 25, 2020","February 27, 2020",,,"October 29, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787762%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/05/07,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02901104,RIPPUB,U,6,"July 15, 2019","July 22, 2019",,,"May 7, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671787%5D.pdf
